순위,그룹,데뷔일,멤버이름
1,블랙핑크,2016.08.08,지수
,,,제니
,,,로제
,,,리사
2,소녀시대,2007.08.05,태연
,,,써니
,,,티파니
,,,효연
,,,유리
,,,수영
,,,윤아
,,,서현
3,트와이스,2015.10.20,나연
,,,정연
,,,모모
,,,사나
,,,지효
,,,미나
,,,다현
,,,채영
,,,쯔위
4,아이브,2021.12.01,안유진
,,,가을
,,,레이
,,,장원영
,,,리즈
,,,이서
5,레드벨벳,2014.08.01,웬디
,,,아이린
,,,슬기
,,,조이
,,,예리
6,(여자)아이들,2018.05.02,미연
,,,민니
,,,소연
,,,우기
,,,슈화
7,에스파,20201117,카리나
,,,윈터
,,,지젤
,,,닝닝
8,오마이걸,2015.04.21,효정
,,,미미
,,,유아
,,,승희
,,,유빈
,,,아린
9,프로미스나인,2018.01.24,이새롬
,,,송하영
,,,박지원
,,,노지선
,,,이서연
,,,이채영
,,,이나경
,,,백지헌
10,우주소녀,2016.02.25,설아
,,,엑시
,,,보나
,,,성소
,,,은서
,,,다영
,,,다원
,,,수빈
,,,선의
,,,여름
,,,미기
,,,루다
11,에이핑크,2011.04.19,박초롱
,,,윤보미
,,,정은지
,,,김남주
,,,오하영
12,뉴진스,2022.07.22,민지
,,,하니
,,,다니엘
,,,해린
,,,혜인
13,마마무,2014.06.19,솔라
,,,문별
,,,휘인
,,,화사
14,르세라핌,2022.05.02,사쿠라
,,,김채원
,,,허윤진
,,,카즈하
,,,홍은채
15,스테이씨,2020.11.12,수민
,,,시은
,,,아이사
,,,세은
,,,윤
,,,재이
16,이달의 소녀,2018.08.19,희진
,,,현진
,,,하슬
,,,여진
,,,비비
,,,김립
,,,진솔
,,,최리
,,,이브
,,,츄
,,,고원
,,,올리비아 혜
17,라붐,2014.08.28,소연
,,,진예
,,,해인
,,,솔빈
18,에이프릴,2015.08.24,윤채경
,,,김채원
,,,이나은
,,,양예나
,,,레이첼
,,,이진솔
19,브레이브걸스(2기),2016.02.16,민영
,,,유정
,,,은지
,,,유나
20,ITZY,2019.02.12,예지
,,,리아
,,,류진
,,,채령
,,,유나
21,걸스데이,2010.07.09,소진
,,,유라
,,,민아
,,,혜리
22,모모랜드,2016.11.10,혜빈
,,,제인
,,,나윤
,,,주이
,,,아인
,,,낸시
23,엔믹스,2022.02.22,릴리
,,,해원
,,,설윤
,,,지니
,,,배이
,,,지우
,,,규진
24,드림캐쳐,2017.01.13,지유
,,,수아
,,,시연
,,,유현
,,,다미
,,,한동
,,,가현
25,케플러,2022.01.03,최유진
,,,샤오팅
,,,마시로
,,,김채현
,,,김다연
,,,히카루
,,,휴닝바히에
,,,서영은
,,,강예서
26,위클리,2020.06.30,이수진
,,,먼데이
,,,지한
,,,박소은
,,,조아
,,,이재희
27,위키미키,2017.08.08,최유정
,,,김도연
,,,지수연
,,,앨리
,,,세이
,,,루아
,,,리나
,,,루시
28,에프엑스,2009.09.05,빅토리아
,,,크리스탈
,,,엠버
,,,루나
29,퍼플키스,2021.03.15,박지은
,,,나고은
,,,도시
,,,이레
,,,유키
,,,채인
,,,수안
30,엘리스,2017.06.01,이제이
,,,도아
,,,채정
,,,연제
,,,유경
,,,소희
,,,가린
